[Sep 22 20:24:52.027] MongooseTimer.cpp:36    ALLOC: 1073555712
[Sep 22 20:24:52.138] MongooseTimer.cpp:36    ALLOC: 1073465872
[Sep 22 20:24:52.246] MongooseTimer.cpp:36    ALLOC: 1073555796
[Sep 22 20:24:52.357] MongooseTimer.cpp:36    ALLOC: 1073613804
[Sep 22 20:24:52.467] MongooseTimer.cpp:36    ALLOC: 1073615664
[Sep 22 20:24:52.577] MongooseTimer.cpp:36    ALLOC: 1073615700
[Sep 22 20:24:52.687] MongooseTimer.cpp:36    ALLOC: 1073615408
[Sep 22 20:24:52.797] MongooseTimer.cpp:36    ALLOC: 1073615444
[Sep 22 20:24:52.907] MongooseTimer.cpp:36    ALLOC: 1073615872
[Sep 22 20:24:53.017] MongooseTimer.cpp:36    ALLOC: 1073615908
[Sep 22 20:24:53.127] MongooseTimer.cpp:36    ALLOC: 1073615944
[Sep 22 20:24:53.236] MongooseTimer.cpp:36    ALLOC: 1073615980
[Sep 22 20:24:53.346] MongooseTimer.cpp:36    ALLOC: 1073616016
[Sep 22 20:24:53.456] MongooseTimer.cpp:36    ALLOC: 1073616052
[Sep 22 20:24:53.557] MongooseTimer.cpp:36    ALLOC: 1073616088

[Sep 22 20:25:02.012] MongooseTimer.cpp:46    FREED: 1073555712
[Sep 22 20:25:02.029] MongooseTimer.cpp:36    ALLOC: 1073465872
[Sep 22 20:25:02.137] MongooseTimer.cpp:46    FREED: 1073465872
[Sep 22 20:25:02.154] MongooseTimer.cpp:36    ALLOC: 1073465872
[Sep 22 20:25:02.262] MongooseTimer.cpp:46    FREED: 1073555796
[Sep 22 20:25:02.279] MongooseTimer.cpp:36    ALLOC: 1073555780
[Sep 22 20:25:02.387] MongooseTimer.cpp:46    FREED: 1073613804
[Sep 22 20:25:02.404] MongooseTimer.cpp:36    ALLOC: 1073613804
[Sep 22 20:25:02.513] MongooseTimer.cpp:46    FREED: 1073615664
[Sep 22 20:25:02.530] MongooseTimer.cpp:36    ALLOC: 1073615664
[Sep 22 20:25:02.638] MongooseTimer.cpp:46    FREED: 1073615700
[Sep 22 20:25:02.654] MongooseTimer.cpp:36    ALLOC: 1073615700
[Sep 22 20:25:02.763] MongooseTimer.cpp:46    FREED: 1073615408
[Sep 22 20:25:02.780] MongooseTimer.cpp:36    ALLOC: 1073615408
[Sep 22 20:25:02.888] MongooseTimer.cpp:46    FREED: 1073615444
[Sep 22 20:25:02.905] MongooseTimer.cpp:36    ALLOC: 1073615444
[Sep 22 20:25:03.013] MongooseTimer.cpp:46    FREED: 1073615872
[Sep 22 20:25:03.030] MongooseTimer.cpp:36    ALLOC: 1073615872
[Sep 22 20:25:03.138] MongooseTimer.cpp:46    FREED: 1073615908
[Sep 22 20:25:03.155] MongooseTimer.cpp:36    ALLOC: 1073615908
[Sep 22 20:25:03.263] MongooseTimer.cpp:46    FREED: 1073615944
[Sep 22 20:25:03.280] MongooseTimer.cpp:36    ALLOC: 1073615944
[Sep 22 20:25:03.389] MongooseTimer.cpp:46    FREED: 1073615980
[Sep 22 20:25:03.406] MongooseTimer.cpp:36    ALLOC: 1073615980
[Sep 22 20:25:03.514] MongooseTimer.cpp:46    FREED: 1073616016
[Sep 22 20:25:03.531] MongooseTimer.cpp:36    ALLOC: 1073616016
[Sep 22 20:25:03.639] MongooseTimer.cpp:46    FREED: 1073616052
[Sep 22 20:25:03.656] MongooseTimer.cpp:36    ALLOC: 1073616052
[Sep 22 20:25:03.764] MongooseTimer.cpp:46    FREED: 1073616088
[Sep 22 20:25:03.781] MongooseTimer.cpp:36    ALLOC: 1073616088

[Sep 22 20:25:12.019] MongooseTimer.cpp:46    FREED: 1073465872
[Sep 22 20:25:12.036] MongooseTimer.cpp:36    ALLOC: 1073465872
[Sep 22 20:25:12.144] MongooseTimer.cpp:46    FREED: 1073465872
[Sep 22 20:25:12.161] MongooseTimer.cpp:36    ALLOC: 1073465872
[Sep 22 20:25:12.269] MongooseTimer.cpp:46    FREED: 1073555780
[Sep 22 20:25:12.286] MongooseTimer.cpp:36    ALLOC: 1073555780
[Sep 22 20:25:12.394] MongooseTimer.cpp:46    FREED: 1073613804
[Sep 22 20:25:12.411] MongooseTimer.cpp:36    ALLOC: 1073613804
[Sep 22 20:25:12.519] MongooseTimer.cpp:46    FREED: 1073615664
[Sep 22 20:25:12.536] MongooseTimer.cpp:36    ALLOC: 1073615664
[Sep 22 20:25:12.644] MongooseTimer.cpp:46    FREED: 1073615700
[Sep 22 20:25:12.661] MongooseTimer.cpp:36    ALLOC: 1073615700
[Sep 22 20:25:12.769] MongooseTimer.cpp:46    FREED: 1073615408
[Sep 22 20:25:12.786] MongooseTimer.cpp:36    ALLOC: 1073615408
[Sep 22 20:25:12.894] MongooseTimer.cpp:46    FREED: 1073615444
[Sep 22 20:25:12.912] MongooseTimer.cpp:36    ALLOC: 1073615444
[Sep 22 20:25:13.020] MongooseTimer.cpp:46    FREED: 1073615872
[Sep 22 20:25:13.037] MongooseTimer.cpp:36    ALLOC: 1073615872
[Sep 22 20:25:13.145] MongooseTimer.cpp:46    FREED: 1073615908
[Sep 22 20:25:13.162] MongooseTimer.cpp:36    ALLOC: 1073615908
[Sep 22 20:25:13.270] MongooseTimer.cpp:46    FREED: 1073615944
[Sep 22 20:25:13.287] MongooseTimer.cpp:36    ALLOC: 1073615944
[Sep 22 20:25:13.395] MongooseTimer.cpp:46    FREED: 1073615980
[Sep 22 20:25:13.412] MongooseTimer.cpp:36    ALLOC: 1073615980
[Sep 22 20:25:13.520] MongooseTimer.cpp:46    FREED: 1073616016
[Sep 22 20:25:13.537] MongooseTimer.cpp:36    ALLOC: 1073616016
[Sep 22 20:25:13.645] MongooseTimer.cpp:46    FREED: 1073616052
[Sep 22 20:25:13.662] MongooseTimer.cpp:36    ALLOC: 1073616052
[Sep 22 20:25:13.770] MongooseTimer.cpp:46    FREED: 1073616088
[Sep 22 20:25:13.787] MongooseTimer.cpp:36    ALLOC: 1073616088
